RIL,420 SET,411 SET,Core-Pop165,Core-Pop18,FLOLD,FLOSD,DM10,DM3,NP10,NP3,AA10,AA3,HU10,HU3,NO10,PO3,CL10,CL3,PRL,LRN,LRD,LRL,SO10,SO3
055,X,X,X,,30,71,19.0,10.2,6.70,2.29,129.1,43.7,92.2,86.6,1821.0,10.3,37.7,418.1,NA,NA,NA,NA,111.1,28.2
056,X,X,,,27,63.5,12.4,5.3,7.30,2.38,146.2,58.4,92.7,86.1,2270.6,22.7,37.0,405.4,NA,NA,NA,NA,125.1,62.2
057,X,X,,,31,65,20.4,5.2,7.15,2.32,155.4,42.1,92.6,86.8,2027.6,19.6,37.1,388.2,NA,NA,NA,NA,85.4,32.0
058,X,X,X,,35,65.5,21.2,8.0,7.02,1.93,143.7,52.6,92.9,86.1,2079.4,21.4,37.7,350.0,NA,NA,NA,NA,115.5,78.8
059,X,X,X,,34,62,18.8,7.4,7.23,1.90,133.8,37.4,92.9,86.0,2232.6,21.3,37.3,387.5,NA,NA,NA,NA,141.3,77.3
060,X,X,,,30,46,19.1,7.8,6.75,2.08,149.1,47.0,92.3,85.6,1784.1,17.5,35.9,327.1,NA,NA,NA,NA,186.5,112.4
061,X,X,X,,36,57.5,17.2,8.6,6.86,2.42,156.9,51.7,92.0,87.5,1773.3,19.0,36.8,356.6,NA,NA,NA,NA,95.5,34.6
062,X,X,X,,28,58.5,17.6,6.2,7.05,2.70,167.0,59.8,91.8,84.9,1879.3,21.2,38.0,436.8,NA,NA,NA,NA,59.6,36.8
063,X,X,,,30,62,15.4,3.7,7.13,2.20,140.7,41.4,93.0,87.6,2178.7,18.6,38.5,542.4,NA,NA,NA,NA,203.5,145.0
064,X,X,,,32,63.5,17.6,7.2,7.27,2.23,150.8,40.4,93.0,87.2,2256.1,16.3,43.4,463.2,NA,NA,NA,NA,105.7,67.8
065,X,X,X,,30,59,15.0,5.2,7.02,2.33,162.3,51.7,91.8,86.6,1808.6,26.6,43.0,501.2,NA,NA,NA,NA,138.4,76.0
066,X,X,,,62,78,20.4,7.1,6.32,1.95,134.7,39.0,91.8,85.6,1702.4,14.8,39.8,355.3,NA,NA,NA,NA,177.0,141.6
067,X,X,X,,31,58.5,17.8,8.0,6.98,2.14,134.8,49.2,92.6,86.8,1968.9,8.0,32.9,333.0,NA,NA,NA,NA,98.8,80.6
068,X,X,,,35,58.5,19.8,5.8,6.79,1.98,140.7,40.3,92.8,85.1,1904.2,7.4,34.0,362.0,NA,NA,NA,NA,74.7,48.0
069,X,X,X,,30,59.5,19.3,7.8,6.53,2.06,142.8,43.0,92.3,86.4,1781.1,15.6,39.6,367.8,NA,NA,NA,NA,93.2,34.4
070,X,X,X,,31,63,16.8,7.4,6.79,1.94,187.5,40.2,91.9,83.6,1959.7,16.7,42.8,294.0,NA,NA,NA,NA,132.8,42.6
071,X,X,X,,63,86,22.2,5.0,6.94,2.01,145.3,47.3,92.3,84.7,2189.4,12.4,38.4,451.7,NA,NA,NA,NA,109.0,107.2
072,X,X,,,35,58.5,18.1,5.5,6.83,1.98,152.9,41.6,92.8,86.6,2061.1,15.7,35.0,371.6,NA,NA,NA,NA,197.9,141.0
073,X,X,X,,32,62.5,18.3,6.8,6.68,2.16,150.9,42.2,92.3,86.4,1844.8,12.5,34.9,401.1,NA,NA,NA,NA,98.8,51.6
074,X,X,,,27,52.5,17.7,7.0,6.83,1.99,134.1,41.3,92.5,85.6,1872.2,23.4,30.1,298.2,NA,NA,NA,NA,194.1,156.1
075,X,X,,,32,61,22.6,9.2,7.31,2.20,170.6,44.6,92.6,86.1,2075.8,11.8,35.4,446.5,NA,NA,NA,NA,105.9,56.2
076,X,X,,,29,65,22.9,7.8,6.76,2.14,150.0,42.8,92.1,85.1,1816.9,14.6,35.9,379.4,NA,NA,NA,NA,115.1,43.6
077,X,X,X,,36,63,18.6,7.5,7.08,2.00,163.9,44.2,92.2,85.4,2179.7,13.7,32.2,335.4,NA,NA,NA,NA,81.7,26.6
078,X,X,X,,31,61,18.4,5.4,7.31,2.04,157.4,38.8,92.7,86.4,2259.4,12.0,33.3,455.1,NA,NA,NA,NA,139.4,110.5
080,X,X,,,31,58.5,17.1,6.1,6.85,1.79,132.6,36.9,92.5,83.9,1997.3,17.7,34.7,352.2,NA,NA,NA,NA,182.1,102.4
081,X,X,X,,37,62,21.1,6.3,7.05,1.94,135.6,37.8,93.0,86.0,2314.1,13.8,37.1,371.0,NA,NA,NA,NA,136.8,84.2
082,X,X,,,30,59.5,17.6,5.6,7.19,2.05,156.1,40.0,92.2,84.3,1914.5,20.1,38.4,360.8,NA,NA,NA,NA,117.8,88.4
083,X,X,X,,31,61,20.9,6.1,6.53,2.72,145.7,62.2,91.5,85.9,1646.6,19.0,37.0,349.9,NA,NA,NA,NA,146.3,117.6
084,X,X,X,,36,58.5,17.1,6.1,6.87,2.05,138.0,40.4,92.6,85.8,1987.5,11.4,35.4,334.3,NA,NA,NA,NA,166.6,108.4
085,X,X,,,29,55.5,19.4,7.0,6.61,1.88,138.3,34.8,92.8,86.1,1813.0,26.2,36.9,368.2,NA,NA,NA,NA,184.8,110.9
086,X,X,,,58,82.5,16.3,6.6,7.10,2.15,151.5,44.8,92.5,86.6,2191.2,6.4,44.0,541.8,NA,NA,NA,NA,99.1,77.0
087,X,X,,,32,62,20.8,5.7,6.40,1.76,152.8,42.3,92.0,84.8,1816.4,10.0,39.6,392.4,NA,NA,NA,NA,131.6,45.2
088,X,X,,,28,46.5,16.6,4.8,7.23,2.61,140.8,56.0,93.0,88.1,2106.5,28.8,45.6,521.8,NA,NA,NA,NA,123.4,51.6
089,X,X,,,29,54,17.1,4.4,7.29,2.03,136.9,36.1,93.1,86.4,2120.7,26.6,41.3,422.6,NA,NA,NA,NA,116.7,105.2
090,X,X,X,,29,49,17.4,5.7,6.35,1.84,129.4,36.4,92.8,86.6,1697.8,13.3,35.6,296.4,NA,NA,NA,NA,192.1,120.7
091,X,X,,,50,59,18.5,6.0,6.71,1.84,145.0,37.6,92.3,86.4,1820.8,9.4,38.2,421.7,NA,NA,NA,NA,155.2,128.0
092,X,X,X,X,28,61,16.3,5.4,7.27,2.69,145.0,67.4,93.0,88.0,2212.7,20.6,37.9,525.6,NA,NA,NA,NA,94.0,57.8
093,X,X,,,30,51.5,15.8,4.7,7.35,2.20,143.7,44.3,93.4,87.0,2356.4,19.6,34.0,408.8,NA,NA,NA,NA,125.0,86.9
094,X,X,X,X,42,60.5,16.8,7.8,7.09,2.04,144.6,40.2,92.4,86.2,2171.4,10.6,32.1,414.2,82.5,23.8,0.289,319.4,101.8,56.4
095,X,X,,,28,62,17.8,5.4,7.08,1.91,149.5,36.7,92.4,85.4,2068.6,22.0,43.4,455.1,NA,NA,NA,NA,106.7,52.5
096,X,X,,,62,83.5,22.1,7.2,6.69,1.99,159.6,42.2,91.7,85.0,1795.5,3.1,38.2,341.4,NA,NA,NA,NA,88.6,34.1
097,X,X,X,,32,56.5,16.5,5.6,6.78,1.68,140.6,35.4,92.6,85.2,1985.0,15.1,32.5,353.6,NA,NA,NA,NA,156.9,112.2
098,X,X,X,X,31,60,23.9,8.8,6.56,1.99,155.9,40.2,92.5,85.7,1620.3,9.4,37.7,299.7,NA,NA,NA,NA,170.1,119.6
099,X,X,X,,32,54,17.1,8.0,6.59,1.82,131.4,38.8,92.0,85.1,1712.1,13.9,33.3,337.6,NA,NA,NA,NA,194.0,111.1
100,X,X,X,,35,60,19.2,5.1,7.21,2.18,143.7,53.1,92.9,85.9,2015.3,7.0,39.5,429.8,NA,NA,NA,NA,77.4,30.7
101,X,X,X,,59,83.5,21.9,8.6,7.11,2.09,163.0,52.6,91.9,86.0,2187.8,3.8,37.1,467.8,NA,NA,NA,NA,85.5,46.2
102,X,X,X,,29,55.5,16.9,8.0,6.81,2.06,149.3,47.7,92.3,86.1,1917.0,12.8,38.8,340.2,NA,NA,NA,NA,170.4,136.6
103,X,X,,,33,62.5,17.8,7.0,7.13,2.08,151.2,46.2,92.5,85.8,2083.4,19.8,39.7,329.6,83.8,22.7,0.27,313.8,146.7,85.5
104,X,X,X,,29,57.5,16.5,5.2,7.15,2.00,152.1,43.7,93.0,87.8,2134.7,17.1,32.9,413.6,NA,NA,NA,NA,150.3,104.4
105,X,X,,,35,64,15.2,5.8,6.91,1.98,157.6,41.6,92.4,86.2,1976.2,16.0,37.3,467.9,NA,NA,NA,NA,104.1,32.4
106,X,X,X,,34,68.5,18.0,8.4,6.82,2.14,130.6,44.8,92.9,87.0,1889.8,12.6,35.4,371.0,NA,NA,NA,NA,169.7,97.4
107,X,X,,,29,61,15.7,6.2,7.28,2.10,169.3,48.2,91.8,84.1,1849.0,21.8,33.5,391.6,NA,NA,NA,NA,90.9,55.6
108,X,,,,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,X,X,,,38,65,20.7,8.4,7.18,1.98,152.2,42.8,92.6,86.3,2107.8,12.4,40.5,513.5,NA,NA,NA,NA,80.7,20.8
110,X,X,X,,26,63,17.6,5.7,6.89,2.11,140.3,39.8,92.7,87.4,1748.1,11.0,41.5,517.0,NA,NA,NA,NA,124.2,47.2
111,X,X,X,,33,67,20.4,7.1,7.03,1.80,143.9,39.5,91.8,85.1,2064.1,8.9,30.9,374.0,NA,NA,NA,NA,93.3,22.4
112,X,X,X,,37,61.5,18.1,7.8,7.06,2.30,136.1,47.7,92.8,87.3,2040.2,13.2,37.8,498.0,NA,NA,NA,NA,96.6,42.1
113,X,X,,,30,64,13.5,6.4,7.45,2.55,152.3,54.3,93.2,87.6,2413.1,8.6,34.8,529.8,NA,NA,NA,NA,128.0,98.0
114,X,X,X,,27,47,19.0,6.6,7.16,2.16,145.4,42.6,93.1,87.4,2007.1,14.1,30.0,343.1,NA,NA,NA,NA,132.1,90.8
115,X,X,,,33,71.5,18.2,6.5,7.21,2.27,166.4,43.8,91.5,87.8,2038.3,10.9,39.3,535.3,NA,NA,NA,NA,71.3,25.8
116,X,X,X,,28,55.5,18.2,7.0,6.87,2.27,145.2,46.0,92.5,86.6,1861.5,13.6,34.2,374.2,NA,NA,NA,NA,100.8,25.2
117,X,X,,,29,60.5,20.1,6.5,6.78,1.96,154.3,32.0,92.3,85.4,1809.2,27.0,39.6,438.5,NA,NA,NA,NA,123.6,60.0
118,X,X,X,,48,63.5,23.9,6.2,6.72,1.74,174.5,42.2,91.7,84.1,1752.0,9.4,29.9,310.5,NA,NA,NA,NA,104.1,84.1
119,X,X,,,27,48,17.2,6.2,7.37,2.47,144.8,55.8,93.2,87.4,2077.2,19.0,30.1,398.6,NA,NA,NA,NA,87.4,47.4
120,X,X,X,,49,72,19.3,7.1,6.88,2.16,148.1,38.8,92.2,85.8,1901.7,9.2,32.0,320.3,NA,NA,NA,NA,141.0,73.0
121,X,X,X,,27,64,20.8,6.9,7.26,2.07,186.7,41.7,91.9,85.6,1993.1,14.6,38.1,439.0,NA,NA,NA,NA,96.7,53.4
122,X,X,,,29,54.5,14.5,6.2,7.18,1.98,160.9,38.6,92.8,86.4,2056.6,20.5,41.1,368.2,NA,NA,NA,NA,162.1,81.6
123,X,X,X,,30,64,16.9,7.5,6.72,1.90,137.4,36.2,92.5,85.4,1723.1,14.2,33.7,301.0,NA,NA,NA,NA,189.4,100.4
124,X,X,,,30,62,18.7,7.8,6.86,2.05,147.5,40.0,92.5,86.0,1968.5,10.4,38.7,428.4,NA,NA,NA,NA,137.4,41.7
125,X,X,,,33,60,14.7,7.1,7.13,2.76,134.9,60.5,93.2,86.2,2090.1,16.1,30.8,386.2,NA,NA,NA,NA,152.7,95.6
126,X,X,X,,37,64.5,19.5,7.1,7.16,2.18,156.7,42.4,92.6,87.2,2139.0,11.8,37.8,476.3,NA,NA,NA,NA,95.9,34.5
127,X,X,X,,32,59.5,17.2,6.4,7.52,2.29,145.1,45.0,93.2,87.8,2254.6,20.4,32.3,437.4,NA,NA,NA,NA,102.4,67.0
128,X,X,,,37,65,18.7,6.0,6.71,1.98,148.6,40.7,91.8,84.4,1744.3,16.1,29.3,285.9,NA,NA,NA,NA,175.9,117.4
129,X,X,X,,27,44,17.3,5.4,6.83,1.93,128.4,40.3,92.8,86.3,1975.8,23.7,39.0,340.5,NA,NA,NA,NA,185.2,145.2
130,X,X,,,27,62,15.7,7.0,7.28,2.08,145.6,44.0,92.7,86.4,2006.7,26.4,50.4,396.4,NA,NA,NA,NA,162.6,134.0
131,X,X,X,,31,56,15.5,7.4,7.19,2.14,134.5,44.8,93.1,86.2,2246.8,20.9,36.0,435.3,70.5,13.3,0.188,140.3,163.2,55.0
132,X,X,,,28,55,15.8,6.7,7.21,2.17,131.0,47.4,93.0,86.4,2232.0,20.7,35.6,322.8,NA,NA,NA,NA,151.7,86.6
133,X,X,X,,36,64,17.6,6.8,7.03,2.30,158.5,48.1,92.3,85.8,1960.1,12.2,29.3,312.4,NA,NA,NA,NA,225.6,164.8
134,X,X,X,,37,71,19.9,6.1,6.67,1.88,161.7,41.4,92.0,84.9,1875.5,12.8,37.7,274.2,NA,NA,NA,NA,89.7,47.4
135,X,X,X,,32,63,20.8,6.7,7.00,2.13,170.6,44.2,92.3,85.9,2021.6,9.6,42.3,475.2,NA,NA,NA,NA,138.2,48.2
136,X,X,X,X,24,49,13.8,6.0,7.10,2.05,152.1,40.8,92.8,86.9,2057.9,13.0,40.5,474.9,NA,NA,NA,NA,139.2,37.4
137,X,X,X,X,49,81,16.2,5.8,6.98,2.09,142.8,45.8,92.7,86.6,2009.1,17.3,34.7,397.8,NA,NA,NA,NA,149.5,103.8
138,X,X,,,34,61.5,20.3,8.2,6.84,1.82,162.4,37.5,92.0,84.6,1862.5,9.4,38.8,305.8,NA,NA,NA,NA,217.1,144.2
139,X,X,,,32,63,19.6,4.1,6.47,2.72,158.2,93.3,92.0,85.2,1735.4,10.6,41.8,525.0,NA,NA,NA,NA,145.7,120.2
140,X,X,X,,26,54,14.4,6.2,7.31,2.26,153.0,42.2,93.0,87.5,2152.6,16.8,33.1,427.2,NA,NA,NA,NA,158.8,43.2
142,X,X,,,32,61.5,15.2,5.0,6.92,2.04,149.1,41.0,92.7,86.2,1980.6,21.0,37.7,389.0,NA,NA,NA,NA,233.1,140.9
143,X,X,X,,33,62.5,16.6,6.8,7.15,2.12,141.4,45.1,92.7,86.8,2088.9,16.9,30.0,391.7,NA,NA,NA,NA,118.7,51.6
144,X,X,,,29,63.5,20.8,6.6,6.98,2.50,158.9,51.8,92.3,87.6,1927.0,11.8,40.1,497.6,NA,NA,NA,NA,146.8,68.5
145,X,X,,,29,60,14.4,4.3,7.17,2.55,152.9,63.1,92.4,85.5,1945.0,12.2,39.6,374.8,71.3,15.0,0.208,172.5,174.3,189.1
146,X,X,X,,27,50,18.6,3.4,7.35,2.24,165.2,44.0,92.6,86.4,2089.1,21.0,40.6,448.8,76.3,12.0,0.157,138.0,89.4,81.9
147,X,X,X,,29,60,18.9,8.1,7.66,2.33,166.2,47.6,93.0,87.5,2230.1,15.0,40.6,550.3,71.2,27.3,0.383,283.7,91.2,42.0
148,X,X,,,30,55.5,16.3,7.8,7.12,1.90,143.6,41.4,92.9,86.2,1994.3,14.2,33.9,348.2,88.7,19.6,0.22,265.6,99.4,61.2
149,X,X,X,,39,65.5,19.6,6.1,7.38,2.00,148.8,40.2,92.7,86.1,2331.8,7.3,36.0,441.4,85.9,21.3,0.248,277.2,106.9,89.6
150,X,X,X,,29,52,13.6,4.8,7.19,2.41,142.4,56.0,93.0,88.0,2117.2,14.4,34.7,546.0,69.4,18.0,0.259,178.9,66.1,40.7
151,X,X,,,28,63,18.3,5.1,7.10,2.00,135.0,41.7,92.9,86.4,2050.9,22.0,42.3,374.5,71.6,20.6,0.287,255.9,157.5,122.8
152,X,X,,,26,52,16.5,5.4,7.09,2.29,140.8,43.0,92.9,87.6,1982.5,26.2,36.3,432.2,87.7,19.6,0.224,251.8,117.0,92.8
153,X,X,,,27,59.5,12.8,6.1,7.37,1.97,153.2,40.6,92.5,84.9,2106.1,19.9,36.9,424.0,78.8,28.1,0.357,344.6,82.0,24.1
154,X,X,,,41,71,20.8,6.4,7.13,1.90,157.5,40.0,92.0,84.4,1911.5,10.2,36.1,377.5,NA,NA,NA,NA,68.5,26.8
155,X,X,X,,29,61.5,18.8,6.6,7.35,2.15,162.3,42.8,92.9,87.4,2170.7,10.0,33.9,402.1,87.3,30.5,0.351,335.6,126.4,30.3
156,X,X,,,44,79,6.1,3.1,7.07,3.32,180.5,99.6,91.9,84.7,1658.5,14.9,30.3,462.8,75.4,20.2,0.268,200.2,136.4,160.4
157,X,X,X,,45,68.5,20.0,7.2,7.07,2.12,154.8,38.8,92.3,85.8,2106.7,13.0,44.1,362.4,79.2,22.8,0.285,304.9,124.2,115.4
158,X,X,,,28,59,13.6,6.6,7.53,2.60,160.2,61.0,92.9,87.8,2522.8,12.7,43.7,568.4,70.1,22.7,0.324,229.7,117.8,54.8
159,X,X,,,31,63,16.4,5.6,6.90,2.37,148.0,49.3,92.4,87.3,2115.4,13.6,41.7,392.2,76.5,13.8,0.178,141.8,220.2,197.0
160,X,X,,,27,57.5,12.5,6.4,7.14,2.34,146.1,45.4,92.8,87.6,2140.7,16.2,35.4,430.4,81.2,21.7,0.266,167.8,160.8,33.5
161,X,X,,,30,58,18.3,4.5,7.23,3.18,148.3,92.2,92.8,87.6,2015.3,28.2,37.6,425.1,60.2,13.8,0.229,129.8,147.2,189.5
162,X,X,X,X,25,47.5,18.9,7.0,6.57,2.36,128.2,48.4,93.2,87.8,1965.9,13.8,35.6,410.2,88.4,23.1,0.262,162.0,137.4,34.0
163,X,X,,,39,52,18.8,7.0,6.86,1.82,147.7,39.3,92.8,86.0,2189.5,13.0,33.2,333.2,90.7,24.6,0.27,242.0,149.2,84.0
164,X,X,,,28,49.5,14.7,4.8,7.12,1.86,133.8,39.3,93.0,86.8,2170.7,26.1,38.9,408.5,86.4,19.5,0.227,253.0,180.4,145.0
165,X,X,X,,41,54.5,19.1,7.0,6.94,1.90,153.8,38.8,92.1,85.6,2049.8,16.2,44.4,391.9,89.9,23.4,0.261,290.9,106.2,32.4
166,X,X,,,28,52,16.3,6.1,6.88,2.07,142.3,45.0,92.6,86.7,1887.0,18.9,37.5,338.0,82.6,17.6,0.211,151.5,160.0,49.6
167,X,X,,,53,71.5,14.3,5.6,7.36,2.07,155.2,44.4,92.9,85.8,2308.2,20.0,32.8,357.1,89.9,25.2,0.28,265.2,150.5,98.1
168,X,X,,,38,55,15.9,6.6,7.24,1.93,150.6,41.6,93.4,86.2,2315.9,19.2,36.2,324.6,93.1,24.7,0.265,275.6,109.2,69.7
